agency_full,#_of_agencies,population,crime_type,YTD,PrevYTD,Percent_Change,YTD_Range,Last Updated
"Harrisburg, Pennsylvania",1,50229,"Murders",9,12,-25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Hidalgo County, Texas",1,260352,"Murders",9,8,12.50%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Montgomery County, Texas",1,565355,"Murders",9,9,0.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"North Charleston, South Carolina",1,120162,"Murders",9,13,-30.77%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Reading, Pennsylvania",1,97790,"Murders",9,7,28.57%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Rockford, Illinois",1,145873,"Murders",9,17,-47.06%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Springfield, Illinois",1,112781,"Murders",9,9,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Springfield, Ohio",1,57866,"Murders",9,4,125.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Beaumont, Texas",1,110671,"Murders",8,12,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Charleston, South Carolina",1,155159,"Murders",8,7,14.29%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Glendale, Arizona",1,253768,"Murders",8,14,-42.86%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"San Bernardino, California",1,219483,"Murders",8,8,0.00%,"Jan - May 2025",2025-12-16 15:08:46 EST
"Santa Fe, New Mexico",1,89657,"Murders",8,4,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Shelby County, Tennessee",1,136188,"Murders",8,6,33.33%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Waterbury, Connecticut",1,115380,"Murders",8,8,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Yuma, Arizona",1,99610,"Murders",8,2,300.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
