__lineyka_row_id,agency_full,population,Percent_Change,YTD_Range,Last Updated
206,"Parker County, Texas",114776,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
207,"Pasadena, Texas",145850,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
208,"Pawtucket, Rhode Island",75100,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
209,"Pharr, Texas",80359,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
210,"Rapid City, South Dakota",80850,-40.00%,Jan - Jul 2025,2025-12-16 15:08:46 EST
211,"Rock Hill, South Carolina",75681,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
212,"Royal Oak, Michigan",57233,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
213,"Salem, Oregon",178276,-50.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
214,"San Marcos, Texas",71413,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
215,"Smith County, Texas",111489,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
216,"Sonoma County, California",131522,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
217,"Southfield, Michigan",74960,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
218,"Sparks, Nevada",109403,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
219,"St Charles, Missouri",71408,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
220,"Taylor, Michigan",61781,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
221,"Tulare County, California",135511,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
222,"Walnut Creek, California",68441,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
223,"Waterloo, Iowa",66211,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
224,"Westminster, Colorado",113660,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
225,"Wichita Falls, Texas",102740,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
226,"Adams County, Colorado",100798,-50.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
227,"Alameda County, California",148466,-75.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
228,"Alhambra, California",79087,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
229,"Allentown, Pennsylvania",124782,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
230,"Asheville, North Carolina",93471,-77.78%,Jan - Oct 2025,2025-12-16 15:08:46 EST
231,"Baldwin Park, California",68230,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
232,"Barnstable, Massachusetts",50034,100.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
233,"Battle Creek, Michigan",60969,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
234,"Beaumont, California",57819,NaN%,Jan - Sep 2025,2025-12-16 15:08:46 EST
235,"Bellingham, Washington",94968,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
236,"Boise, Idaho",236949,100.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
237,"Bossier City, Louisiana",62602,-71.43%,Jan - Oct 2025,2025-12-16 15:08:46 EST
238,"Bowling Green, Kentucky",76194,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
239,"Broken Arrow, Oklahoma",119959,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
240,"Brookhaven, Georgia",58507,-50.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
241,"Brownsville, Texas",190590,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
242,"Burnsville, Minnesota",63650,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
243,"Cheyenne, Wyoming",64307,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
244,"Chicopee, Massachusetts",55043,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
245,"Citrus Heights, California",85894,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
246,"Clackamas County, Oregon",243311,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
247,"Commerce City, Colorado",67851,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
248,"Concord, North Carolina",111915,-60.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
249,"Council Bluffs, Iowa",62214,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
250,"Dearborn Heights, Michigan",61420,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
251,"Dearborn, Michigan",106747,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
252,"Des Moines, Iowa",209658,-77.78%,Jan - Oct 2025,2025-12-16 15:08:46 EST
253,"Douglas County, Colorado",219477,-33.33%,Jan - Sep 2025,2025-12-16 15:08:46 EST
254,"Eau Claire, Wisconsin",69859,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
255,"Edmond, Oklahoma",97063,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
256,"El Dorado County, California",162436,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
257,"El Monte, California",103463,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
258,"Elkhart, Indiana",53773,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
259,"Enid, Oklahoma",50168,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
260,"Eugene, Oregon",178191,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
261,"Fayetteville, Arkansas",101624,-75.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
262,"Folsom, California",84559,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
263,"Franklin, Tennessee",88315,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
264,"Goodyear, Arizona",109929,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
265,"Green Bay, Wisconsin",105521,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
266,"Greenville, South Carolina",72961,-71.43%,Jan - Sep 2025,2025-12-16 15:08:46 EST
267,"Hamilton Township, New Jersey",120098,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
268,"Hillsboro, Oregon",107459,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
269,"Iowa City, Iowa",75396,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
270,"Irving, Texas",255203,-88.89%,Jan - Oct 2025,2025-12-16 15:08:46 EST
271,"Kent County, Michigan",267237,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
272,"Knox County, Tennessee",304331,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
273,"Kokomo, Indiana",59720,0.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
274,"La Mesa, California",60008,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
275,"Lansing, Michigan",112529,-33.33%,Jan - Apr 2025,2025-12-16 15:08:46 EST
276,"Lawrence, Massachusetts",87806,-71.43%,Jan - Oct 2025,2025-12-16 15:08:46 EST
277,"League City, Texas",115791,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
278,"Leander, Texas",82228,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
279,"Little Elm, Texas",59954,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
280,"Manchester, New Hampshire",114963,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
281,"Medford, Oregon",85352,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
282,"Midland, Texas",135253,-71.43%,Jan - Oct 2025,2025-12-16 15:08:46 EST
