__lineyka_row_id,agency_full,#_of_agencies,population,crime_type,YTD,PrevYTD,Percent_Change,YTD_Range,Last Updated
284,"Pawtucket, Rhode Island",1,75100,Murders,3,3,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
285,"Pharr, Texas",1,80359,Murders,3,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
286,"Rapid City, South Dakota",1,80850,Murders,3,5,-40.00%,Jan - Jul 2025,2025-12-16 15:08:46 EST
287,"Rock Hill, South Carolina",1,75681,Murders,3,4,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
288,"Royal Oak, Michigan",1,57233,Murders,3,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
289,"Salem, Oregon",1,178276,Murders,3,6,-50.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
290,"San Marcos, Texas",1,71413,Murders,3,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
291,"Smith County, Texas",1,111489,Murders,3,5,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
292,"Sonoma County, California",1,131522,Murders,3,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
293,"Southfield, Michigan",1,74960,Murders,3,1,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
294,"Sparks, Nevada",1,109403,Murders,3,4,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
295,"St Charles, Missouri",1,71408,Murders,3,2,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
296,"Taylor, Michigan",1,61781,Murders,3,3,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
297,"Tulare County, California",1,135511,Murders,3,9,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
298,"Walnut Creek, California",1,68441,Murders,3,0,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
299,"Waterloo, Iowa",1,66211,Murders,3,2,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
300,"Westminster, Colorado",1,113660,Murders,3,5,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
