__lineyka_row_id,agency_full,population,Percent_Change,YTD_Range,Last Updated
242,"Pontiac, Michigan",61871,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
243,"Port Arthur, Texas",55371,-20.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
244,"Schenectady, New York",69035,-42.86%,Jan - Oct 2025,2025-12-16 15:08:46 EST
245,"St. Cloud, Minnesota",69922,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
246,"St. George, Utah",105930,300.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
247,"Travis County, Texas",277111,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
248,"West Jordan, Utah",116485,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
249,"Youngstown, Ohio",58773,-20.00%,Jan - May 2025,2025-12-16 15:08:46 EST
250,"Bellevue, Nebraska",62372,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
251,"Boulder, Colorado",104232,NaN%,Jan - Sep 2025,2025-12-16 15:08:46 EST
252,"Bridgeport, Connecticut",148483,-72.73%,Jan - Oct 2025,2025-12-16 15:08:46 EST
253,"Burlington, North Carolina",60156,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
254,"Canton Township, Michigan",98915,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
255,"Chula Vista, California",280748,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
256,"Clovis, California",126552,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
257,"Denton County, Texas",160587,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
258,"Erie, Pennsylvania",92920,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
259,"Escondido, California",149837,50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
260,"Fall River, Massachusetts",93879,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
261,"Forsyth County, Georgia",267417,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
262,"Fort Collins, Colorado",168886,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
263,"Frisco, Texas",228527,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
264,"Grand Prairie, Texas",205487,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
265,"Hall County, Georgia",148922,200.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
266,"Hammond, Indiana",75990,50.00%,Jan - Feb 2025,2025-12-16 15:08:46 EST
267,"Henrico County, Virginia",334046,-81.25%,Jan - Sep 2025,2025-12-16 15:08:46 EST
268,"Henry County, Georgia",172407,-25.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
269,"Johns Creek, Georgia",82646,NaN%,Jan - Oct 2025,2025-12-16 15:08:46 EST
270,"Jonesboro, Arkansas",80395,0.00%,Jan - Jul 2025,2025-12-16 15:08:46 EST
271,"Kalamazoo County, Michigan",108458,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
272,"Kannapolis, North Carolina",56479,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
273,"Lafayette, Louisiana",121361,-66.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
274,"Lexington County, South Carolina",232613,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
275,"Livingston Parish, Louisiana",134038,-57.14%,Jan - Oct 2025,2025-12-16 15:08:46 EST
276,"Loudoun County, Virginia",378299,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
277,"Lynn, Massachusetts",101144,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
278,"Madison, Wisconsin",274234,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
279,"Odessa, Texas",111922,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
